index,date,headline,snippet,link
1,19820101,JUDGE FINDS BLACK CONCERN VIOLATED LAWS ON SEX BIAS,"  A Federal district judge has ruled that the Johnson Products Company, a leading manufacturer of hair-care products for black women that is one of the nation's largest blackowned businesses, has violated Federal laws prohibiting discrimination...",http://www.nytimes.com/1982/01/02/us/judge-finds-black-concern-violated-laws-on-sex-bias.html
2,19820201,DRAFT OF ORDER ON PRESS DISCLOSURES IS STUDIED BY WHITE HOUSE AIDES,"  A ''working draft'' of a directive that would place significant new restrictions on contacts between Government officials and news reporters on the subject of foreign policy is circulating within the Reagan Administration, White House officials...",http://www.nytimes.com/1982/02/02/us/draft-of-order-on-press-disclosures-is-studied-by-white-house-aides.html
3,19820301,BRIEFING,"  Aquarium Casualties   A long campaign to save the 109-year-old National Aquarium situated in the basement of the Commerce Department has met with mixed success: They've saved the fish but have let most of the bipeds go.   ''Damn, I feel let down,''...",http://www.nytimes.com/1982/03/02/us/briefing-227037.html
4,19820401,Defense Rests in Trial Over 1977 Nightclub Fire,"  The defense has rested in a four-week civil trial involving the 1977 fire that killed 164 persons at the Beverly Hills Supper Club in Southgate, Ky.",http://www.nytimes.com/1982/04/02/us/around-the-nation-defense-rests-in-trial-over-1977-nightclub-fire.html
5,19820501,THAI DIPLOMAT HELD ON HEROIN CHARGE IN CHICAGO,"  A Thai diplomat who is said to have operated a ring that smuggled as much as $20 million worth of heroin into the United States in diplomatic pouches is under arrest on drug charges, officials say.   The diplomat, Sihadej Chindawongse, 42 years...",http://www.nytimes.com/1982/05/02/us/thai-diplomat-held-on-heroin-charge-in-chicago.html
6,19820601,High Court Bars Kleindienst,"  Former Attorney General Richard G.  Kleindienst, suspended by the Arizona Supreme Court for lying under oath, was suspended today from practice before the United States Supreme Court. The nation's highest court ordered the Tucson, Ariz., lawyer to...",http://www.nytimes.com/1982/06/02/us/high-court-bars-kleindienst.html
7,19820701,NEW BUDGET FOR CALIFORNIA REFLECTS CUTBACK IN SERVICES,"  Four years after Californians rebelled and voted a limit on soaring property taxes, the state has adopted a new budget that officials say may bring about the kind of deep cuts in public services that were envisaged when the law was passed.   The...",http://www.nytimes.com/1982/07/02/us/new-budget-for-california-reflects-cutback-in-services.html
8,19820801,DISMISSAL SPLITS LANDMARK CHURCH IN RIGHTS FIGHT,"  The padlocks were removed from the doors of the 16th Street Baptist Church today for the first Sunday in three, and a visiting pastor brought the grim congregation a message from God: ''He told me to tell you, I am not pleased with how things are...",http://www.nytimes.com/1982/08/02/us/dismissal-splits-landmark-church-in-rights-fight.html
9,19820901,U.S. Says Farm Income Is Down 24% in 1982,"  Net income for American farmers is projected at about $19 billion in 1982, down 24.3 percent from last year, the Government said today.   The Agriculture Department said the decline was caused in part by record crops, weak demand and declining...",http://www.nytimes.com/1982/09/02/us/us-says-farm-income-is-down-24-in-1982.html
10,19821001,AWAIT HOUSE ACTION,"  The Senate, preparing to head home to the voters, has passed anticrime legislation intended to impose stiffer prison terms on drug pushers, violent criminals and people who repeatedly commit ''street crime.''   One measure, approved Thursday by a...",http://www.nytimes.com/1982/10/02/us/anticrime-measures-approved-by-senate-await-house-action.html
11,19821101,2 Guilty of Voting Fraud Freed by Alabama Panel,"  Two black women whose conviction of voting fraud became a rallying cry for extension of the Voting Rights Act of 1965 won their freedom today.   The state Board of Pardons and Paroles voted unanimously to parole Julia Wilder, 70 years old, and...",http://www.nytimes.com/1982/11/02/us/around-the-nation-2-guilty-of-voting-fraud-freed-by-alabama-panel.html
12,19830101,"Police Search for Girl, 2, Abducted in Theft of Car",  The police continued their search today for a 2-year-old girl who was asleep in the back seat of a car that was stolen in a New Year's Eve robbery.,http://www.nytimes.com/1983/01/02/us/around-the-nation-police-search-for-girl-2-abducted-in-theft-of-car.html
13,19830201,FEDERAL WORKERS RALLY FOR THE 'BIGGEST FIGHT',"  They have sponsored a radio blitz, besieged Congressional offices, held letter-writing campaigns, arranged a satellite-linked lobbying seminar, sent spokesmen on national tours, organized mass rallies at the Capitol and hired a Washington...",http://www.nytimes.com/1983/02/02/us/federal-workers-rally-for-the-biggest-fight.html
14,19830301,BRIEFING,"O'Neill's Chicago Thoughts   Concerned about the impact of the Chicago mayoral election on the Democratic Party nationally, Thomas P. O'Neill Jr., Speaker of the House, has sent a pledge of his personal support to Representative Harold Washington,...",http://www.nytimes.com/1983/03/02/us/briefing-004605.html
15,19830401,Motorcyclists Convicted As a Drug and Vice Ring,"  Thirteen members of a motorcycle gang, the Outlaws, were found guilty today of racketeering charges in Federal District Court.",http://www.nytimes.com/1983/04/02/us/around-the-nation-motorcyclists-convicted-as-a-drug-and-vice-ring.html
16,19830501,BRIEFING,"  A 'Roast' for Udall   W hen Representative Morris K. Udall announced two months ago that he had decided not to run for President, he got more national attention and political applause than most of his fellow Democrats who faced that decision and...",http://www.nytimes.com/1983/05/02/us/briefing-137589.html
17,19830601,HOW WASHINGTON GREW AND GREW,"  When Thomas Jefferson and Alexander Hamilton struck their deal to build the nation's capital on the banks of the Potomac, neither could have imagined that it would one day encompass 3,976 square miles and reach the Pennsylvania border to the north,...",http://www.nytimes.com/1983/06/02/us/how-washington-grew-and-grew.html
