index,x,y,z,color,lum,absmag,appmag,distly,distly_datetime,date
1,0,0,0,0.65,0.8913,4.85,-26.72,0,0,11/8/14
60456,0.8981,-0.9317,-0.0437,1.748,0.01,15.45,11.01,4.22,1540.3,8/20/10
61108,0.9649,-0.9404,-0.0162,0.946,0.40649,5.7,1.35,4.39,1602.35,6/19/10
61111,0.965,-0.9403,-0.0161,0.603,1.4225,4.34,-0.01,4.39,1602.35,6/19/10
74940,1.5148,0.9097,0.4422,-0.63,0.00039,13.24,9.54,5.94,2168.1,11/30/08
46175,-1.0554,-0.094,2.3177,1.542,0.00509,10.46,7.49,8.31,3033.15,7/19/06
27821,-1.7693,-1.9125,-0.4074,0.021,20.33483,1.45,-1.44,8.6,3139,4/5/06
78632,2.8675,0.5733,-0.5305,1.643,0.00049,13,10.37,9.69,3536.85,3/3/05
14321,-2.0695,-0.5874,-2.3933,0.991,0.26132,6.18,3.72,10.49,3828.85,5/15/04
96944,1.3362,0.1193,-3.0047,1.542,0.00965,9.76,7.35,10.73,3916.45,2/17/04
49150,0.0042,-1.6911,2.8779,1.713,0.00031,13.5,11.12,10.88,3971.2,12/24/03
88577,0.4638,3.4336,-0.3529,1.137,0.07831,7.49,5.2,11.35,4142.75,7/6/03
31827,-2.8348,-1.8906,0.7881,0.396,6.56872,2.68,0.4,11.4,4161,6/18/03
88581,0.4667,3.4541,-0.3555,1.242,0.03623,8.33,6.05,11.42,4168.3,6/10/03
78100,0.0402,3.2054,1.4424,1.137,0.00126,11.97,9.7,11.46,4182.9,5/27/03
1284,-1.5192,3.0246,-1.129,1.478,0.00574,10.33,8.09,11.63,4244.95,3/26/03
78097,0.0406,3.2534,1.4641,1.137,0.00262,11.18,8.94,11.63,4244.95,3/26/03
92544,2.2186,-0.9782,-2.6965,1.137,0.13581,6.89,4.69,11.82,4314.3,1/15/03
6987,-1.0322,0.1246,-3.496,0.82,0.41492,5.68,3.49,11.89,4339.85,12/21/02
4873,-0.6254,0.3655,-3.6455,1.785,0.00016,14.25,12.1,12.12,4423.8,9/28/02
30935,-3.157,-1.9985,0.6842,1.748,0.0013,11.94,9.84,12.38,4518.7,6/25/02
21004,-1.0571,-2.9872,-2.3036,1.416,0.0034,10.89,8.86,12.77,4661.05,2/2/02
89313,2.8198,0.1927,-2.7547,1.478,0.0255,8.71,6.69,12.87,4697.55,12/28/01
94300,-1.0163,3.8767,-0.0002,1.542,0.00182,11.58,9.59,13.07,4770.55,10/16/01
26643,-3.4356,-2.2249,-0.4437,1.713,0.00047,13.05,11.12,13.42,4898.3,6/10/01
61831,3.3075,-1.6456,2.1031,-0.63,0.00029,13.58,11.72,13.86,5058.9,1/1/01
68941,3.8984,0.2285,1.7127,1.677,0.00129,11.95,10.1,13.9,5073.5,12/17/00
386,1.0193,-0.2998,-4.2291,1.542,0.00556,10.36,8.56,14.22,5190.3,8/22/00
13574,-2.5456,-0.8793,-3.4751,-0.63,0.00021,13.94,12.16,14.33,5230.45,7/13/00
3298,-1.2512,2.012,-3.715,-0.63,0.00017,14.15,12.37,14.36,5241.4,7/2/00
61830,3.5079,-1.7457,2.2303,-0.63,0.00023,13.8,12.07,14.7,5365.5,2/29/00
73455,-0.5748,3.7982,2.397,1.643,0.00348,10.87,9.15,14.76,5387.4,2/7/00
72915,4.3082,-1.3168,-0.5352,1.137,0.00283,11.1,9.38,14.79,5398.35,1/27/00
48999,2.024,-4.1479,-0.2303,-0.63,0.00042,13.18,11.5,15.06,5496.9,10/21/99
97000,1.2347,1.7187,-4.1052,-0.63,0.00021,13.92,12.24,15.06,5496.9,10/21/99
96068,1.4635,1.8734,-4.0564,1.748,0.00148,11.8,10.16,15.33,5595.45,7/14/99
46322,-2.1437,0.4363,4.3088,1.542,0.00537,10.4,8.82,15.75,5748.75,2/11/99
42650,-2.8995,0.7303,3.8476,1.298,0.04222,8.16,6.6,15.89,5799.85,12/22/98
70548,4.0597,-2.6047,-0.999,-0.63,0.00039,13.26,11.72,16.06,5861.9,10/21/98
